Title: List of Funded Startups in San Francisco (2026)
San Francisco remains the epicenter of innovation and these freshly funded San Francisco startups are defining what’s next. 

From [AI](https://fundraiseinsider.com/blog/ai-startups/)and Web3 to [biotech](https://fundraiseinsider.com/blog/biotech-startups/), [SaaS](https://fundraiseinsider.com/blog/recently-funded-saas-startups/), and enterprise automation, San Francisco’s startups continue to attract some of the largest funding rounds in the world. These companies are scaling fast, hiring top talent, expanding into new markets, and actively looking for partners, platforms, and services to fuel their next phase of growth. 

At Fundraise Insider, we track every newly funded startup in San Francisco and deliver verified contact details for founders, C-suite executives, and decision makers so you can reach out before your competitors even know they raised. 

Below is a sample of recently funded startups based in San Francisco. 

Just after raising venture capital, startups in San Francisco will hire new employees, sign-on new agencies (marketing, software development, recruitment, legal, accounting, etc) and buy new SaaS software to help them grow their business. 

If you’re looking to sign-on new clients this year, pitch to these San Francisco startups right after they raise funding via the [B2B sales leads list](https://fundraiseinsider.com/)– **Fundraise Insider **, trusted by the likes of Google, Oracle, Brex, Plaid, Gartner, etc. 

> Pay Once, Get Lifetime Weekly Leads | Fundraise Insider

## Newly Funded San Francisco Startups

****Click here to download 10 leads from newly funded startups. ****

**Leads list includes: ***First Name, Last Name, Title, Company, Email, Linkedin Url, # Employees, Industry, Website, Company Linkedin Url, Facebook Url, Twitter Url, Company Phone, Technologies, Annual Revenue, Short Description, Founded Year, Top 5 Investors, Funding Amount, Headquarters, Funding Type, Funding Date. *

| Company | Industry | Website | Headquarters | Funding Type | 
| Unconventional AI | information technology & services | http://www.unconv.ai | San Francisco, California, United States | Seed | 
| Quilt | machinery | http://www.quilt.com | Redwood City, California, United States | Series B | 
| Perplexity | information technology & services | http://www.perplexity.ai | San Francisco, California, United States | Undisclosed | 
| Mindtrip | information technology & services | http://www.mindtrip.ai | San Francisco, California, United States | Seed | 
| Flex | financial services | http://www.flex.one | San Francisco, California, United States | Series B | 
| Amari AI | information technology & services | http://www.amari.ai | San Francisco, California, United States | Seed | 
| Multifactor | computer & network security | http://www.multifactor.com | San Francisco, California, United States | Seed | 
| Verkada | information technology & services | http://www.verkada.com | San Mateo, California, United States | Venture - Series Unknown | 
| Nasdaq Private Market | financial services | http://www.nasdaqprivatemarket.com | San Francisco, California, United States | Venture - Series Unknown | 
| Angle Health | insurance | http://www.anglehealth.com | San Francisco, California, United States | Series B | 
| Junevity | research | http://www.junevity.com | San Francisco, California, United States | Seed | 
| Aether Bio | research | http://www.aetherbio.com | Menlo Park, California, United States | Venture - Series Unknown | 
| Unlimited Industries | information technology & services | http://www.unlimitedindustries.com | San Francisco, California, United States | Seed | 
| Origin Speech Therapy | medical practice | http://www.joinoriginspeech.com | San Francisco, California, United States | Seed | 
| LotusFlare, Inc. | information technology & services | http://www.lotusflare.com | Santa Clara, California, United States | Venture - Series Unknown | 
| Lemurian Labs | information technology & services | http://www.lemurianlabs.com | Santa Clara, California, United States | Series A | 
| UpTerra | farming | http://www.upterra.co | Sausalito, California, United States | Venture - Series Unknown | 
| Heirloom | environmental services | http://www.heirloomcarbon.com | Brisbane, California, United States | Undisclosed | 
| Ripple Foods | food & beverages | http://www.ripplefoods.com | Berkeley, California, United States | Venture - Series Unknown | 
| Axiado Corporation Inc | computer & network security | http://www.axiado.com | San Jose, California, United States | Series C | 
| Basalt | information technology & services | http://www.getbasalt.ai | San Francisco, California, United States | Venture - Series Unknown | 
| AnChain.ai | computer & network security | http://www.anchain.ai | San Jose, California, United States | Series B | 
| Trial Library | research | http://www.triallibrary.com | San Francisco, California, United States | Series A | 
| Ricursive Intelligence | information technology & services | http://www.ricursive.com | Palo Alto, California, United States | Seed | 
| PayJoy | financial services | http://www.payjoy.com | San Francisco, California, United States | Debt Financing | 
| Simular | information technology & services | http://www.simular.ai | Palo Alto, California, United States | Series A | 
| Lyric Bio | pharmaceuticals | http://www.lyricbio.com | Palo Alto, California, United States | Seed | 
| Raindrop | information technology & services | http://www.raindrop.ai | San Francisco, California, United States | Seed | 
| Rubi Laboratories | biotechnology | http://www.rubi.earth | San Francisco, California, United States | Venture - Series Unknown | 
| Mainflow | financial services | http://www.mainflow.com | San Francisco, California, United States | Undisclosed | 
| Akura Medical | medical devices | http://www.akuramed.com | Los Gatos, California, United States | Series C | 
| The San Francisco Compute Company | information technology & services | http://www.sfcompute.com | San Francisco, California, United States | Series A | 
| Onton | information technology & services | http://www.onton.com | San Francisco, California, United States | Seed | 
| vijil | information technology & services | http://www.vijil.ai | Menlo Park, California, United States | Venture - Series Unknown | 
| Interface | information technology & services | http://www.getinterface.ai | San Francisco, California, United States | Seed | 
| Alchemy | information technology & services | http://www.alchemy.com | San Francisco, California, United States | Venture - Series Unknown | 
| Zipline | logistics & supply chain | http://www.zipline.com | San Francisco, California, United States | Grant | 
| Harmonic | information technology & services | http://www.harmonic.fun | Palo Alto, California, United States | Series C | 
| Momentic | information technology & services | http://www.momentic.ai | San Francisco, California, United States | Series A | 
| Anthro Energy | electrical/electronic manufacturing | http://www.anthroenergy.com | San Jose, California, United States | Grant | 
| Palo AI | information technology & services | http://www.palo.ai | Palo Alto, California, United States | Seed | 
| Maritime Fusion | renewables & environment | http://www.maritimefusion.com | San Francisco, California, United States | Seed | 
| Cordance Medical | medical devices | http://www.cordancemedical.com | Mountain View, California, United States | Seed | 
| Coverbase | information technology & services | http://www.coverbase.com | San Francisco, California, United States | Series A | 
| Peek | leisure, travel & tourism | http://www.peek.com | San Francisco, California, United States | Series D | 
| Clado | information technology & services | http://www.clado.ai | San Francisco, California, United States | Seed | 
| Archetype AI | information technology & services | http://www.archetypeai.io | Palo Alto, California, United States | Series A | 
| Wispr Flow | information technology & services | http://www.wisprflow.ai | San Francisco, California, United States | Series A | 
| Pibit | insurance | http://www.pibit.ai | Palo Alto, California, United States | Series A | 
| Voio | information technology & services | http://www.voio.com | Berkeley, California, United States | Seed | 
| California Association of Food Banks | nonprofit organization management | http://www.cafoodbanks.org | Oakland, California, United States | Grant | 
| Point One Navigation | information technology & services | http://www.pointonenav.com | San Francisco, California, United States | Series C | 
| Aethernet | information technology & services | http://www.aethernet.io | San Francisco, California, United States | Pre-Seed | 
| Kestrel AI | computer & network security | http://www.usekestrel.ai | San Francisco, California, United States | Seed | 
| Doctly AI | information technology & services | http://www.doctly.ai | Saratoga, California, United States | Seed | 
| Numeric | information technology & services | http://www.numeric.io | San Francisco, California, United States | Series B | 
| Luma AI | information technology & services | http://www.lumalabs.ai | Palo Alto, California, United States | Series C | 
| alphaXiv | research | http://www.alphaxiv.org | San Francisco, California, United States | Seed | 
| Profluent Bio | research | http://www.profluent.bio | Berkeley, California, United States | Venture - Series Unknown | 
| Onepot.ai | pharmaceuticals | http://www.onepot.ai | South San Francisco, California, United States | Seed | 
| Sunday | mechanical or industrial engineering | http://www.sunday.ai | Mountain View, California, United States | Venture - Series Unknown | 
| Poly | information technology & services | http://www.poly.app | San Francisco, California, United States | Seed | 
| SynthioLabs | information technology & services | http://www.synthiolabs.com | San Francisco, California, United States | Seed | 
| Cavela | mechanical or industrial engineering | http://www.cavela.com | San Francisco, California, United States | Seed | 
| Ember Copilot | hospital & health care | http://www.embercopilot.ai | San Francisco, California, United States | Seed | 
| Coreworks AI | information technology & services | http://www.coreworks.ai | Palo Alto, California, United States | Seed | 
| Azul | information technology & services | http://www.azul.com | Sunnyvale, California, United States | Private Equity | 
| Hermes Biosciences | research | http://www.hermesbio.com | San Francisco, California, United States | Seed | 
| Maxima AI | information technology & services | http://www.maxima.ai | San Francisco, California, United States | Series A | 
| Federato | insurance | http://www.federato.ai | Palo Alto, California, United States | Series D | 
| Kaaj AI | financial services | http://www.kaaj.ai | San Francisco, California, United States | Seed | 
| PicoJool | telecommunications | http://www.picojool.com | Palo Alto, California, United States | Venture - Series Unknown | 
| 4L Data Intelligence | insurance | http://www.4ldata.com | San Ramon, California, United States | Venture - Series Unknown | 
| Sphere | information technology & services | http://www.getsphere.com | San Francisco, California, United States | Series A | 
| Lambda | information technology & services | http://www.lambda.ai | San Jose, California, United States | Series E | 
| Erg Bio | research | http://www.ergbio.com | Dublin, California, United States | Seed | 
| Netomi | information technology & services | http://www.netomi.com | San Mateo, California, United States | Undisclosed | 
| Super7 | mechanical or industrial engineering | http://www.super7.com | San Francisco, California, United States | Debt Financing | 
| Gridware | information technology & services | http://www.gridware.io | San Francisco, California, United States | Series B | 
| No Barrier | hospital & health care | http://www.nobarrier.ai | San Francisco, California, United States | Seed | 
| Luminal | information technology & services | http://www.luminal.com | San Francisco, California, United States | Seed | 
| Shipday | information technology & services | http://www.shipday.com | Menlo Park, California, United States | Series A | 
| Bedrock Security | information technology & services | http://www.bedrockdata.ai | San Francisco, California, United States | Series A | 
| Scorbit | information technology & services | http://www.scorbit.io | San Francisco, California, United States | Seed | 
| Bloom Energy | environmental services | http://www.bloomenergy.com | Sunnyvale, California, United States | Debt Financing | 
| Obello | information technology & services | http://www.obello.com | San Francisco, California, United States | Seed | 
| Known | information technology & services | http://www.knowndating.com | San Francisco, California, United States | Venture - Series Unknown | 
| Anzen | insurance | http://www.anzen.com | San Francisco, California, United States | Series A | 
| Alembic | information technology & services | http://www.getalembic.com | San Francisco, California, United States | Series B | 
| Bindwell | research | http://www.bindwell.ai | San Francisco, California, United States | Seed | 
| BoomPop | information technology & services | http://www.boompop.com | San Francisco, California, United States | Venture - Series Unknown | 
| Deductive | information technology & services | http://www.deductive.ai | Mountain View, California, United States | Seed | 
| d-Matrix | semiconductors | http://www.d-matrix.ai | Santa Clara, California, United States | Series C | 
| Litmus Automation | information technology & services | http://www.litmus.io | San Jose, California, United States | Venture - Series Unknown | 
| Parallel | information technology & services | http://www.parallel.ai | Palo Alto, California, United States | Series A | 
| General Counsel AI | information technology & services | http://www.gc.ai | San Francisco, California, United States | Series B | 
| Wisdom AI | information technology & services | http://www.wisdom.ai | San Mateo, California, United States | Series A | 
| Foxglove | information technology & services | http://www.foxglove.dev | San Francisco, California, United States | Series B | 
| House Rx | hospital & health care | http://www.houserx.com | San Francisco, California, United States | Series B | 
| Joy | individual & family services | http://www.joy.co | Oakland, California, United States | Series A | 
| Great Question | information technology & services | http://www.greatquestion.co | Oakland, California, United States | Series A | 
| Azure Biosystems | research | http://www.azurebiosystems.com | Dublin, California, United States | Venture - Series Unknown | 
| Theo Ai | legal services | http://www.theoai.ai | Palo Alto, California, United States | Seed | 
| Tavus | information technology & services | http://www.tavus.io | San Francisco, California, United States | Series B | 
| NextSense | health, wellness & fitness | http://www.nextsense.io | Mountain View, California, United States | Series A | 
| Relixir | information technology & services | http://www.relixir.ai | San Francisco, California, United States | Seed | 
| Rift | information technology & services | http://www.rift.trade | San Francisco, California, United States | Seed | 
| Evidium | information technology & services | http://www.evidium.com | San Francisco, California, United States | Series A | 
| CodeDroid LLC | information technology & services | http://www.codedroid.com | Palo Alto, California, United States | Seed | 
| Gamma | telecommunications | http://www.gammagroup.co | San Francisco, California, United States | Series B | 
| AirOps | information technology & services | http://www.airops.com | San Francisco, California, United States | Series B | 
| Digitail | veterinary | http://www.digitail.com | Palo Alto, California, United States | Series B | 
| Scribe | information technology & services | http://www.scribe.com | San Francisco, California, United States | Series C | 
| Quino Energy | chemicals | http://www.quinoenergy.com | San Leandro, California, United States | Series A | 
| ALICE Technologies | construction | http://www.alicetechnologies.com | Menlo Park, California, United States | Venture - Series Unknown | 
| AN2 Therapeutics | research | http://www.an2therapeutics.com | Menlo Park, California, United States | Grant | 
| 1mind | information technology & services | http://www.1mind.com | San Francisco, California, United States | Series A | 
| Majestic Labs ai | information technology & services | http://www.majestic-labs.ai | San Francisco, California, United States | Series A | 
| DeepSeq.AI | research | http://www.deepseq.ai | San Francisco, California, United States | Seed | 
| Truffle Security | computer & network security | http://www.trufflesecurity.com | San Francisco, California, United States | Series B | 
| Amae Health | mental health care | http://www.amaehealth.com | San Francisco, California, United States | Series B | 
| Inception | research | http://www.inceptionlabs.ai | Palo Alto, California, United States | Seed | 
| Sandy Health | hospital & health care | http://www.sandyhealth.ai | Novato, California, United States | Seed | 
| Ripple | information technology & services | http://www.ripple.com | San Francisco, California, United States | Venture - Series Unknown | 
| Armis | computer & network security | http://www.armis.com | San Francisco, California, United States | Venture - Series Unknown | 
| Point | real estate | http://www.point.com | Palo Alto, California, United States | Debt Financing | 
| Cactus | information technology & services | http://www.oncactus.com | San Francisco, California, United States | Seed | 
| Welltory | health, wellness & fitness | http://www.welltory.com | Redwood City, California, United States | Debt Financing | 
| Hepta Bio | research | http://www.hepta.bio | San Francisco, California, United States | Seed | 
| Flint | education management | http://www.flintk12.com | San Francisco, California, United States | Series A | 
| Poseidon Aerospace | airlines/aviation | http://www.poseidonaero.com | San Francisco, California, United States | Seed | 
| Freya Voice | financial services | http://www.freyavoice.ai | San Francisco, California, United States | Seed | 
| Wabi | information technology & services | http://www.wabi.ai | San Francisco, California, United States | Pre-Seed | 
| Portal26 | information technology & services | http://www.portal26.ai | San Jose, California, United States | Series A | 
| IP Author | information technology & services | http://www.ipauthor.com | San Mateo, California, United States | Seed | 
| Cuckoo | information technology & services | http://www.cuckoo.so | San Francisco, California, United States | Seed | 
| MoEngage | information technology & services | http://www.moengage.com | San Francisco, California, United States | Series F | 
| Sunflower Labs | mechanical or industrial engineering | http://www.sunflower-labs.com | San Francisco, California, United States | Series B | 
| Ceres Imaging | information technology & services | http://www.ceres.ai | Oakland, California, United States | Venture - Series Unknown | 
| Indent | computer & network security | http://www.indent.com | San Francisco, California, United States | Venture - Series Unknown | 
| Sonoma Biotherapeutics | research | http://www.sonomabio.com | South San Francisco, California, United States | Grant | 
| Hippocratic AI | hospital & health care | http://www.hippocraticai.com | Palo Alto, California, United States | Series C | 
| Novoflow | information technology & services | http://www.novoflow.io | San Francisco, California, United States | Seed | 
| Mecha Health | information technology & services | http://www.mecha-health.ai | San Francisco, California, United States | Seed | 
| Popai Health | hospital & health care | http://www.popai.health | San Francisco, California, United States | Seed | 
| McKay Brothers | telecommunications | http://www.mckay-brothers.com | Oakland, California, United States | Venture - Series Unknown | 
| Harvey | information technology & services | http://www.harvey.ai | San Francisco, California, United States | Series F | 
| Archy | information technology & services | http://www.archy.com | San Jose, California, United States | Series B | 
| Kiwibot | information technology & services | http://www.kiwibot.com | Berkeley, California, United States | Venture - Series Unknown | 
| xMEMS | semiconductors | http://www.xmems.com | Santa Clara, California, United States | Series D | 
| Drip Capital | financial services | http://www.dripcapital.com | Palo Alto, California, United States | Debt Financing | 
| The Prompting Company | information technology & services | http://www.promptingcompany.com | San Francisco, California, United States | Seed | 
| Examen | information technology & services | http://www.examen.ai | San Francisco, California, United States | Seed | 
| Indomo | research | http://www.indomotx.com | San Francisco, California, United States | Seed | 
| Curve Biosciences | research | http://www.curvebio.com | Mountain View, California, United States | Series A | 
| MEXT | information technology & services | http://www.mext.ai | Santa Clara, California, United States | Venture - Series Unknown | 
| Voxel | information technology & services | http://www.voxelai.com | San Francisco, California, United States | Venture - Series Unknown | 
| Ridepanda | information technology & services | http://www.ridepanda.com | San Francisco, California, United States | Venture - Series Unknown | 
| Whatnot | information technology & services | http://www.whatnot.com | San Francisco, California, United States | Series F | 
| Mem0 | information technology & services | http://www.mem0.ai | San Francisco, California, United States | Series A | 
| CoreStory | information technology & services | http://www.corestory.ai | Berkeley, California, United States | Series A | 
| WideField Security | computer & network security | http://www.widefield.ai | Santa Clara, California, United States | Series A | 
| GRID Alternatives | renewables & environment | http://www.gridalternatives.org | Oakland, California, United States | Grant | 
| Wild Moose | information technology & services | http://www.wildmoose.ai | San Francisco, California, United States | Seed | 
| Agtonomy | machinery | http://www.agtonomy.com | San Francisco, California, United States | Series B | 
| SavvyMoney | financial services | http://www.savvymoney.com | Dublin, California, United States | Private Equity | 
| Honey Health | hospital & health care | http://www.honeyhealth.ai | Menlo Park, California, United States | Seed | 
| Channing House | hospital & health care | http://www.channinghouse.org | Palo Alto, California, United States | Debt Financing | 
| Mercor | information technology & services | http://www.mercor.com | San Francisco, California, United States | Series C | 
| Allie AI | information technology & services | http://www.allie-ai.com | San Francisco, California, United States | Series A | 
| BRIDGE Housing | real estate | http://www.bridgehousing.com | San Francisco, California, United States | Debt Financing | 
| Apriority Financial | financial services | http://www.apriority.ai | Redwood City, California, United States | Seed | 
| Brico | financial services | http://www.brico.ai | San Francisco, California, United States | Series A | 
| Propy | real estate | http://www.propy.com | Palo Alto, California, United States | Debt Financing | 
| Uniphore | information technology & services | http://www.uniphore.com | Palo Alto, California, United States | Series F | 
| Generation Lab | research | http://www.generationlab.com | San Francisco, California, United States | Seed | 
| Gimlet Labs | information technology & services | http://www.gimletlabs.ai | San Francisco, California, United States | Seed | 
| Newton AI | hospital & health care | http://www.joinnewton.com | San Francisco, California, United States | Seed | 
| LINEN | information technology & services | http://www.linen.cloud | San Francisco, California, United States | Undisclosed | 
| Electra Therapeutics | research | http://www.electra-therapeutics.com | San Francisco, California, United States | Series C | 
| Eyconis | research | http://www.eyconis.com | Redwood City, California, United States | Venture - Series Unknown | 
| Bluwhale | information technology & services | http://www.bluwhale.com | Santa Clara, California, United States | Series A | 
| Anrok | information technology & services | http://www.anrok.com | San Francisco, California, United States | Series C | 
| Tensec | financial services | http://www.tensec.io | Palo Alto, California, United States | Debt Financing | 
| Streetbeat | financial services | http://www.streetbeat.com | Palo Alto, California, United States | Series A | 
| Sesame | electrical/electronic manufacturing | http://www.sesame.com | San Francisco, California, United States | Series B | 
| Defakto Security | information technology & services | http://www.defakto.security | Palo Alto, California, United States | Series B | 
| Posit Science | health, wellness & fitness | http://www.brainhq.com | San Francisco, California, United States | Grant | 
| SRI International | research | http://www.sri.com | Menlo Park, California, United States | Grant | 
| Cala Health | medical devices | http://www.calahealth.com | San Mateo, California, United States | Venture - Series Unknown | 
| Nubila | environmental services | http://www.nubila.ai | San Francisco, California, United States | Seed | 
| LangChain | information technology & services | http://www.langchain.com | San Francisco, California, United States | Series B | 
| AdsGency AI | information technology & services | http://www.adsgency.ai | San Francisco, California, United States | Seed | 
| Chatfuel | information technology & services | http://www.chatfuel.com | San Francisco, California, United States | Seed | 
| Faeth Therapeutics | research | http://www.faeththerapeutics.com | San Francisco, California, United States | Series A | 
| NewLimit | research | http://www.newlimit.com | South San Francisco, California, United States | Venture - Series Unknown | 
| Gaia 5G | information technology & services | http://www.gaia5g.com | Palo Alto, California, United States | Seed | 
| Petal Surgical | research | http://www.petalsurgical.com | Redwood City, California, United States | Series A | 
| Weave | information technology & services | http://www.weave.bio | San Francisco, California, United States | Series A | 
| Armstrong Robotics | information technology & services | http://www.armstrong.ai | San Francisco, California, United States | Venture - Series Unknown | 
| Upgrade | financial services | http://www.upgrade.com | San Francisco, California, United States | Series G | 
| Counsel Health | hospital & health care | http://www.counselhealth.com | San Francisco, California, United States | Series A | 
| ATDev | medical devices | http://www.assistivetech.dev | Berkeley, California, United States | Seed | 
| SB Energy | environmental services | http://www.sbenergy.com | San Carlos, California, United States | Grant | 
| BridGene Biosciences | research | http://www.bridgenebio.com | Sunnyvale, California, United States | Series B | 
| Campfire | information technology & services | http://www.campfire.ai | San Francisco, California, United States | Series B | 
| Viven | information technology & services | http://www.viven.ai | San Francisco, California, United States | Seed | 
| Bexorg | research | http://www.bexorg.com | San Francisco, California, United States | Series A | 
| Woz | information technology & services | http://www.withwoz.com | San Francisco, California, United States | Seed | 
| Starship Technologies | consumer services | http://www.starship.xyz | San Francisco, California, United States | Series C | 
| Intelo | information technology & services | http://www.intelo.ai | San Francisco, California, United States | Pre-Seed | 
| Graph AI | information technology & services | http://www.graphsafety.ai | Pleasanton, California, United States | Seed | 
| Giggles | internet | http://www.usegiggles.com | San Francisco, California, United States | Pre-Seed | 
| Golpo | information technology & services | http://www.golpoai.com | San Francisco, California, United States | Seed | 
| Everbright Health | hospital & health care | http://www.everbrighthealth.com | San Francisco, California, United States | Seed | 
| Kardigan | research | http://www.kardigan.bio | South San Francisco, California, United States | Series B | 
| WellTheory | health, wellness & fitness | http://www.welltheory.com | Atherton, California, United States | Series A | 
| Liberate Innovations | information technology & services | http://www.liberateinc.com | Palo Alto, California, United States | Series B | 
| Nova Credit | financial services | http://www.novacredit.com | San Francisco, California, United States | Series D | 
| Atomic | financial services | http://www.atomicvest.com | San Francisco, California, United States | Venture - Series Unknown | 
| Feathery | information technology & services | http://www.feathery.io | San Francisco, California, United States | Venture - Series Unknown | 
| Basis Theory | financial services | http://www.basistheory.com | Mill Valley, California, United States | Series B | 
| Reducto | information technology & services | http://www.reducto.ai | San Francisco, California, United States | Series B | 
| Smartlens | medical devices | http://www.smartlens.health | Mountain View, California, United States | Venture - Series Unknown | 
| Soffi | information technology & services | http://www.soffi.ai | San Francisco, California, United States | Pre-Seed | 
| Halfmore | information technology & services | http://www.halfmore.co | Palo Alto, California, United States | Seed | 
| SirenOpt | electrical/electronic manufacturing | http://www.sirenopt.com | Oakland, California, United States | Venture - Series Unknown | 
| iSono Health | medical devices | http://www.isonohealth.com | San Francisco, California, United States | Venture - Series Unknown | 
| Excellergy | research | http://www.excellergy.com | Palo Alto, California, United States | Series A | 
| mindworks | information technology & services | http://www.mindworks.com | San Francisco, California, United States | Seed | 
| Twelve Labs | information technology & services | http://www.twelvelabs.io | San Francisco, California, United States | Venture - Series Unknown | 
| Focal | information technology & services | http://www.meetwithfocal.com | San Francisco, California, United States | Seed | 
| Eolian | semiconductors | http://www.eolianenergy.com | Burlingame, California, United States | Debt Financing | 
| Kernel | information technology & services | http://www.onkernel.com | San Francisco, California, United States | Series A | 
| Coast Fibers | textiles | http://www.coastfibers.com | San Francisco, California, United States | Seed | 
| Datacurve | information technology & services | http://www.datacurve.ai | San Francisco, California, United States | Series A | 
| Expedition Therapeutics | research | http://www.expeditiontx.com | San Francisco, California, United States | Series A | 
| Vulcan | legal services | http://www.vulcan-tech.com | San Francisco, California, United States | Seed | 
| Tigris Data | information technology & services | http://www.tigrisdata.com | Sunnyvale, California, United States | Series A | 
| Foundation Health | information technology & services | http://www.foundationhealth.com | San Mateo, California, United States | Series A | 
| AiPrise | financial services | http://www.aiprise.com | Santa Clara, California, United States | Series A | 
| 375ai | wireless | http://www.375.ai | San Francisco, California, United States | Venture - Series Unknown | 
| Snappr | information technology & services | http://www.snappr.com | San Francisco, California, United States | Series B | 
| KODIF | information technology & services | http://www.kodif.ai | Santa Clara, California, United States | Seed | 
| David AI | information technology & services | http://www.withdavid.ai | San Francisco, California, United States | Series B | 
| TransCrypts | information technology & services | http://www.transcrypts.com | Newark, California, United States | Seed | 
| Alec's Ice Cream | food & beverages | http://www.alecsicecream.com | Petaluma, California, United States | Series A | 
| Relace | information technology & services | http://www.relace.ai | San Francisco, California, United States | Series A | 
| Glue | information technology & services | http://www.glue.ai | San Francisco, California, United States | Series A | 
| Reo.Dev | information technology & services | http://www.reo.dev | San Francisco, California, United States | Seed | 
| Jupiter Endovascular | medical devices | http://www.jupiterendo.com | Menlo Park, California, United States | Series B | 
| EvenUp | information technology & services | http://www.evenuplaw.com | San Francisco, California, United States | Series E | 
| ClickHouse | information technology & services | http://www.clickhouse.com | Palo Alto, California, United States | Series C | 
| FurtherAI | information technology & services | http://www.furtherai.com | San Francisco, California, United States | Series A | 
| Jiko | financial services | http://www.jiko.com | San Francisco, California, United States | Venture - Series Unknown | 
| Peer AI | information technology & services | http://www.getpeer.ai | San Francisco, California, United States | Undisclosed | 
| MoBagel | information technology & services | http://www.mobagel.com | Santa Clara, California, United States | Undisclosed | 
| Brain Jar Games | information technology & services | http://www.brainjar.games | San Francisco, California, United States | Seed | 
| Revel Pharmaceuticals | research | http://www.revelpharmaceuticals.com | San Francisco, California, United States | Venture - Series Unknown | 
| Climax Foods | food production | http://www.bettani.com | Berkeley, California, United States | Series A | 
| Octave | research | http://www.octavebio.com | Menlo Park, California, United States | Grant | 
| Oakland Genesis | nonprofit organization management | http://www.oaklandgenesis.org | Oakland, California, United States | Grant | 
| Pool United | information technology & services | http://www.poolmoney.com | San Francisco, California, United States | Seed | 
| Arcadia Medicine | research | http://www.arcadiamedicine.com | San Francisco, California, United States | Seed | 
| One Circle Foundation | professional training & coaching | http://www.onecirclefoundation.org | San Rafael, California, United States | Grant | 
| AnySoft | information technology & services | http://www.anysoft.app | Palo Alto, California, United States | Seed | 
| Hipp Health | information technology & services | http://www.hipp.health | San Francisco, California, United States | Seed | 
| OpsLyft | information technology & services | http://www.opslyft.com | San Francisco, California, United States | Venture - Series Unknown | 
| Flai | information technology & services | http://www.useflai.com | San Francisco, California, United States | Seed | 
| Supabase | information technology & services | http://www.supabase.com | San Francisco, California, United States | Series E | 
| Pacaso | real estate | http://www.pacaso.com | San Francisco, California, United States | Undisclosed | 
| Cartography Biosciences | research | http://www.cartography.bio | South San Francisco, California, United States | Series B | 
| Fleak | information technology & services | http://www.fleak.ai | San Jose, California, United States | Seed | 
| CyberCube | information technology & services | http://www.cybcube.com | San Francisco, California, United States | Venture - Series Unknown | 
| Ansa Biotechnologies | research | http://www.ansabio.com | Emeryville, California, United States | Series B | 
| HYFIX Spatial Intelligence | machinery | http://www.hyfix.ai | Santa Clara, California, United States | Undisclosed | 
| Axiom Math AI | information technology & services | http://www.axiommath.ai | San Francisco, California, United States | Seed | 
| MiChamba | information technology & services | http://www.michamba.ai | San Francisco, California, United States | Pre-Seed | 
| Mulltiply | information technology & services | http://www.mulltiply.com | Los Gatos, California, United States | Pre-Seed | 
| Tulea Health | hospital & health care | http://www.tuleahealth.com | San Francisco, California, United States | Undisclosed | 
| Descope | information technology & services | http://www.descope.com | Los Altos, California, United States | Seed | 
| Cerebras Systems | computer hardware | http://www.cerebras.ai | Sunnyvale, California, United States | Series G | 
| Eve | information technology & services | http://www.eve.legal | San Francisco, California, United States | Series B | 
| InOrbit | information technology & services | http://www.inorbit.ai | Mountain View, California, United States | Series A | 
| Periodic Labs | information technology & services | http://www.periodic.com | San Francisco, California, United States | Seed | 
| Star Therapeutics | research | http://www.star-therapeutics.com | South San Francisco, California, United States | Series D | 
| Mondoo | computer & network security | http://www.mondoo.com | San Francisco, California, United States | Series A | 
| Summer Robotics | machinery | http://www.summerrobotics.ai | Campbell, California, United States | Series A | 
| Electroflow Technologies | chemicals | http://www.eflowtech.com | San Bruno, California, United States | Seed | 
| Mesta | financial services | http://www.mesta.xyz | San Francisco, California, United States | Seed | 
| Composite | information technology & services | http://www.composite.com | San Francisco, California, United States | Seed | 
| Zania | information technology & services | http://www.zania.ai | Palo Alto, California, United States | Series A | 
| Price.com | information technology & services | http://www.price.com | San Francisco, California, United States | Venture - Series Unknown | 
| Anything | information technology & services | http://www.createanything.com | San Francisco, California, United States | Series A | 
| Alex AI | information technology & services | http://www.alex.com | San Francisco, California, United States | Series A | 
| Aarvik Therapeutics | research | http://www.aarviktx.com | Fremont, California, United States | Seed | 
| PostHog | information technology & services | http://www.posthog.com | San Francisco, California, United States | Series E | 
| Daymark Health | hospital & health care | http://www.daymarkhealth.com | San Francisco, California, United States | Series A | 
| Burnt | information technology & services | http://www.getburnt.ai | San Francisco, California, United States | Seed | 
| Factory | information technology & services | http://www.factory.ai | San Francisco, California, United States | Series B | 
| Jaguar Health | pharmaceuticals | http://www.jaguar.health | San Francisco, California, United States | Grant | 
| Alguna | information technology & services | http://www.alguna.com | San Francisco, California, United States | Seed | 
| MaxHome | information technology & services | http://www.maxhome.ai | Fremont, California, United States | Seed | 
| Tipalti | financial services | http://www.tipalti.com | Foster City, California, United States | Debt Financing | 
| WeTravel | financial services | http://www.wetravel.com | San Francisco, California, United States | Series C | 
| Bastion | information technology & services | http://www.bastion.com | Campbell, California, United States | Seed | 
| Modular | information technology & services | http://www.modular.com | Palo Alto, California, United States | Series C | 
| AmplifyMD | hospital & health care | http://www.amplifymd.com | Los Gatos, California, United States | Series B | 
